
---------- Begin Simulation Statistics ----------
final_tick                                  410696000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 102638                       # Simulator instruction rate (inst/s)
host_mem_usage                                 705088                       # Number of bytes of host memory used
host_op_rate                                   161331                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                     9.74                       # Real time elapsed on the host
host_tick_rate                               42152160                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                     1000002                       # Number of instructions simulated
sim_ops                                       1571874                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.000411                       # Number of seconds simulated
sim_ticks                                   410696000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                    813687                       # number of cc regfile reads
system.cpu.cc_regfile_writes                   672738                       # number of cc regfile writes
system.cpu.committedInsts                     1000002                       # Number of Instructions Simulated
system.cpu.committedOps                       1571874                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.821391                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.821391                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                     12487                       # number of floating regfile reads
system.cpu.fp_regfile_writes                     6553                       # number of floating regfile writes
system.cpu.idleCycles                           61092                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                14158                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                   157024                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.370871                       # Inst execution rate
system.cpu.iew.exec_refs                       665824                       # number of memory reference insts executed
system.cpu.iew.exec_stores                     134752                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  124077                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts                563164                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                  4                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               204                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts               153974                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts             2121581                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts                531072                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             32040                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts               1947417                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    610                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                  3253                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  12917                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                  4111                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents             55                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect         7511                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           6647                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                   2109570                       # num instructions consuming a value
system.cpu.iew.wb_count                       1922452                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.747523                       # average fanout of values written-back
system.cpu.iew.wb_producers                   1576953                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.340478                       # insts written-back per cycle
system.cpu.iew.wb_sent                        1933594                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                  2949850                       # number of integer regfile reads
system.cpu.int_regfile_writes                 1631860                       # number of integer regfile writes
system.cpu.ipc                               1.217446                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.217446                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass              2255      0.11%      0.11% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu               1286393     64.99%     65.10% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   22      0.00%     65.10% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  1338      0.07%     65.17% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                 292      0.01%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     65.18% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  697      0.04%     65.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     65.22% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                 1456      0.07%     65.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     65.29% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 1627      0.08%     65.38% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 825      0.04%     65.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     65.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     65.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                412      0.02%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     65.44% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead               540993     27.33%     92.77% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite              139919      7.07%     99.84% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemRead            2320      0.12%     99.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMemWrite            908      0.05%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::IprAccess                  0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::InstPrefetch               0      0.00%    100.00% # Type of FU issued
system.cpu.iq.FU_type_0::total                1979457                       # Type of FU issued
system.cpu.iq.fp_alu_accesses                    8799                       # Number of floating point alu accesses
system.cpu.iq.fp_inst_queue_reads               17484                       # Number of floating instruction queue reads
system.cpu.iq.fp_inst_queue_wakeup_accesses         8073                       # Number of floating instruction queue wakeup accesses
system.cpu.iq.fp_inst_queue_writes              15431                       # Number of floating instruction queue writes
system.cpu.iq.fu_busy_cnt                       28872                       # FU busy when requested
system.cpu.iq.fu_busy_rate                   0.014586                       # FU busy rate (busy events/executed inst)
system.cpu.iq.fu_full::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IntAlu                    8801     30.48%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::IntMult                      0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::IntDiv                       0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatAdd                     0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCmp                     0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatCvt                     0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMult                    0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     30.48% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                     10      0.03%     30.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     30.52% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                    102      0.35%     30.87% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     2      0.01%     30.88% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     30.88% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     30.88% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    5      0.02%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     30.89% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                  15966     55.30%     86.19% # attempts to use FU when none available
system.cpu.iq.fu_full::MemWrite                  3930     13.61%     99.81% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemRead                21      0.07%     99.88% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMemWrite               35      0.12%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::IprAccess                    0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.fu_full::InstPrefetch                 0      0.00%    100.00% # attempts to use FU when none available
system.cpu.iq.int_alu_accesses                1997275                       # Number of integer alu accesses
system.cpu.iq.int_inst_queue_reads            4733396                       # Number of integer instruction queue reads
system.cpu.iq.int_inst_queue_wakeup_accesses      1914379                       # Number of integer instruction queue wakeup accesses
system.cpu.iq.int_inst_queue_writes           2655903                       # Number of integer instruction queue writes
system.cpu.iq.iqInstsAdded                    2121573                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.iq.iqInstsIssued                   1979457                       # Number of instructions issued
system.cpu.iq.iqNonSpecInstsAdded                   8                       # Number of non-speculative instructions added to the IQ
system.cpu.iq.iqSquashedInstsExamined          549700                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.iq.iqSquashedInstsIssued              2793                       # Number of squashed instructions issued
system.cpu.iq.iqSquashedNonSpecRemoved              8                       # Number of squashed non-spec instructions that were removed
system.cpu.iq.iqSquashedOperandsExamined       644070                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.iq.issued_per_cycle::samples        760301                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::mean         2.603518                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::stdev        2.500731                       # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::underflows            0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::0              267139     35.14%     35.14% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::1               67264      8.85%     43.98% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::2               69389      9.13%     53.11% # Number of insts issued each cycle
system.cpu.iq.issued_per_cycle::3               71680      9.43%     62.54% # Number of insts issued each cycle
